# year,dir,file_path,inventory_order,OK_to_edit,display_as,display_via_github,entry_text
1988,robison,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,robison,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,robison,.path,4000000000,false,path,true,directory path from top directory
1988,robison,index.html,4294967295,false,html,false,this web page
1988,spinellis,spinellis.c,20,true,c,true,entry source
1988,spinellis,Makefile,30,true,makefile,true,entry Makefile
1988,spinellis,spinellis.alt.c,40,true,c,true,alternate code
1988,spinellis,spinellis.orig.c,50,true,c,true,original source
1988,spinellis,input2.txt,150,true,text,false,example input
1988,spinellis,input.txt,150,true,text,false,example input
1988,spinellis,1988_spinellis.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,spinellis,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,spinellis,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,spinellis,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,spinellis,.path,4000000000,false,path,true,directory path from top directory
1988,spinellis,index.html,4294967295,false,html,false,this web page
1988,westley,westley.c,20,true,c,true,entry source
1988,westley,Makefile,30,true,makefile,true,entry Makefile
1988,westley,westley.alt.c,40,true,c,true,alternate code
1988,westley,westley.orig.c,50,true,c,true,original source
1988,westley,try.sh,100,true,shellscript,true,script to try entry
1988,westley,1988_westley.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1988,westley,README.md,4000000000,true,markdown,true,markdown source for this web page
1988,westley,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1988,westley,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1988,westley,.path,4000000000,false,path,true,directory path from top directory
1988,westley,index.html,4294967295,false,html,false,this web page
1989,fubar,fubar.c,20,true,c,true,entry source
1989,fubar,Makefile,30,true,makefile,true,entry Makefile
1989,fubar,fubar.orig.c,50,false,c,true,original source
1989,fubar,fubar.sh,100,true,shellscript,true,script to try entry fubar
1989,fubar,try.sh,100,true,shellscript,true,script to try entry
1989,fubar,1989_fubar.tar.bz2,1415926535,false,tbz2,false,download entry tarball
