# -1,All other cells (excluding year+winners_rank+winners_show) are JSON strings that must not contain commas NOR quotes NOR newlines.,,,,,,,,,
# -2,The year cells must be JSON numbers.  The winners_rank cells must be a JSON number or JSON null.  The winners_show cells must be JSON booleans.,,,,,,,,,
# -3,Empty cells are filled in with red and need to be filled in and are TBD.,,,,,,,,,
# -4,Any cell containing null is a JSON null value. Any cell containing true or false is a JSON boolean value.,,,,,,,,,
# year,dir,winners_rank,path,created_by,prog,filetype,ext,winners_show,display_via,winners_text
1994,weisberg,300,1994_weisberg.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1994,westley,null,.winner.json,jwinner,null,json,json,false,null,null
1994,westley,10,index.html,readme2index,null,html,html,true,browser,click here first
1994,westley,300,1994_westley.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,cdua,null,.winner.json,jwinner,null,json,json,false,null,null
1995,cdua,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,cdua,300,1995_cdua.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,dodsond1,null,.winner.json,jwinner,null,json,json,false,null,null
1995,dodsond1,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,dodsond1,300,1995_dodsond1.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,dodsond2,null,.winner.json,jwinner,null,json,json,false,null,null
1995,dodsond2,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,dodsond2,300,1995_dodsond2.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,esde,null,.winner.json,jwinner,null,json,json,false,null,null
1995,esde,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,esde,300,1995_esde.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,garry,null,.winner.json,jwinner,null,json,json,false,null,null
1995,garry,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,garry,300,1995_garry.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,heathbar,null,.winner.json,jwinner,null,json,json,false,null,null
1995,heathbar,10,index.html,readme2index,null,html,html,true,browser,click here first
1995,heathbar,300,1995_heathbar.tar.bz2,mkwinnertbz2,null,tbz2,bz2,true,download,download winning source
1995,leo,null,.winner.json,jwinner,null,json,json,false,null,null
1995,leo,10,index.html,readme2index,null,html,html,true,browser,click here first
