# year,dir,title,abstract
2018,vokes,vokes.2018,Computing strongly connected graph components
2018,yang,yang.2018,Text rotator and shifter
2019,adamovsky,adamovsky.2019,Unlambda interpreter
2019,burton,burton.2019,Word count
2019,ciura,ciura.2019,Pangram generator
2019,diels-grabsch1,diels-grabsch1.2019,Tiny compress
2019,diels-grabsch2,diels-grabsch2.2019,Self hashing
2019,dogon,dogon.2019,X11 Golly game of Life
2019,duble,duble.2019,Collaborative graphics editor
2019,endoh,endoh.2019,Backtrace quine
2019,giles,giles.2019,WAV reverberator
2019,karns,karns.2019,Breadth-first search on text
2019,lynn,lynn.2019,Haskell compiler
2019,mills,mills.2019,Machine Learning on text
2019,poikola,poikola.2019,SHA and Prime and Fibonacci
2019,yang,yang.2019,Text scrambler
2020,burton,burton.2020,Byte to binary without loops as a 1-liner
2020,carlini,carlini.2020,printf machine
2020,endoh1,endoh1.2020,Minesweeper solver
2020,endoh2,endoh2.2020,Star Wars crawler
2020,endoh3,endoh3.2020,ASCII clock
2020,ferguson1,ferguson1.2020,Snake game
2020,ferguson2,ferguson2.2020,Enigma machine
2020,giles,giles.2020,DTMF encoder/decoder
2020,kurdyukov1,kurdyukov1.2020,MD5 checksum
2020,kurdyukov2,kurdyukov2.2020,Image segmenter
2020,kurdyukov3,kurdyukov3.2020,Letter permuter
2020,kurdyukov4,kurdyukov4.2020,Markov chain text generator
2020,otterness,otterness.2020,MIDI improver
2020,tsoj,tsoj.2020,Asteroids
2020,yang,yang.2020,PIN-protected program generator
